contactType,Federal Agency,Sub Agency,unique id,is_cfo
Federal Organization,Executive Office of the President,Office of Science and Technology Policy,ostp.eop.gov,N
Federal Organization,Department of Agriculture,,usda.gov,Y
Federal Organization,Department of Agriculture,Agricultural Marketing Service,ams.usda.gov,Y
Federal Organization,Department of Health and Human Services,Centers for Medicare and Medicaid Services,cms.hhs.gov,Y
Federal Organization,Department of Agriculture,Economic Research Service,ers.usda.gov,Y
Federal Organization,Federal Trade Commission,,ftc.gov,N
Federal Organization,Department of Health and Human Services,Health Resources and Services Administration,npdb.hrsa.gov,N
Federal Organization,Department of Agriculture,Office of the Chief Information Officer,ocio.usda.gov,Y
Federal Organization,Department of Education,Office of Vocational and Adult Education,ovae.ed.gov,Y
Federal Organization,Department of the Interior,U.S. Geological Survey,usgs.gov,Y
Federal Organization,Department of Health and Human Services,Administration on Aging,aoa.hhs.gov,Y
Federal Organization,Department of Agriculture,Animal and Plant Health Inspection Service,aphis.usda.gov,Y
Federal Organization,Corporation for National and Community Service,,cns.gov,N
Federal Organization,Department of Labor,Employee Benefits Security Administration,esba.dol.gov,Y
Federal Organization,Department of Defense,Federal Voting Assistance Program,fvap.gov,Y
Federal Organization,Department of Agriculture,Natural Resources Conservation Service,ncss.usda.gov,N
Federal Organization,Department of Education,Office for Civil Rights,ocr.ed.gov,Y
Federal Organization,Pension Benefit Guaranty Corporation,,pbgc.gov,N
Federal Organization,US Institute of Peace,,usip.org,N
Federal Organization,Department of the Interior,US Fish and Wildlife Service,alcc.fws.gov,Y
Federal Organization,Department of Justice,Community Oriented Policing Services,cops.doj.gov,Y
Federal Organization,Department of Labor,Employment and Training Administration,eta.dol.gov,Y
Federal Organization,Department of the Interior,US Fish and Wildlife Service,fws.gov,Y
Federal Organization,Department of Defense,Department of the Navy,nrlssc.navy.mil,Y
Federal Organization,General Services Administration,Office of Citizen Services and Innovative Technologies,ocsit.gsa.gov,Y
Federal Organization,General Services Administration,Public Buildings Service,pbs.gsa.gov,Y
Federal Organization,US International Trade Commission,,usitc.gov,N
Federal Organization,Department of Defense,Department of the Army,usace.army.mil,Y
Federal Organization,Department of the Interior,US Geological Survey,csas.usgs.gov,N
Federal Organization,,,eop.gov,N
Federal Organization,Department of Agriculture,"Grain Inspection, Packers, and Stockyard Administration",gipsa.usda.gov,Y
Federal Organization,Department of the Interior,National Business Center,nbc.doi.gov,Y
Federal Organization,Department of State,Organisation for Economic Cooperation and Development,oecd.state.gov,Y
Federal Organization,Department of Veterans Affairs,Veterans Benefits Administration,pai.va.gov,Y
Federal Organization,Department of Commerce,US Patent and Trademark Office,uspto.gov,Y
Federal Organization,US Trade and Development Agency,,ustda.gov,N
Federal Organization,Department of Defense,Department of the Army,arng.arm.mil,N
Federal Organization,General Services Administration,Office of the Chief People Officer,cpo.gsa.gov,Y
Federal Organization,Export-Import Bank of the US,,exim.gov,N
Federal Organization,National Archives and Records Administration,Office of the Federal Register,gpo.gov,Y
Federal Organization,Department of Veterans Affairs,National Cemetery Administration,nca.va.gov,Y
Federal Organization,Department of the Interior,,ios.doi.gov,N
Federal Organization,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,phmsa.dot.gov,Y
Federal Organization,Department of Justice,US Trustee Program,ustp.usdoj.gov,Y
Federal Organization,Department of Agriculture,Agricultural Research Service,ars.usda.gov,Y
Federal Organization,US Consumer Product Safety Commission,,cpsc.gov,N
Federal Organization,Department of Transportation,Federal Aviation Administration,faa.dot.gov,Y
Federal Organization,General Services Administration,,gsa.gov,Y
Federal Organization,Department of Education,National Center for Education Statistics,nces.ed.gov,Y
Federal Organization,Department of Defense,,osd.mil,Y
Federal Organization,Department of Transportation,Research and Innovative Technology Administration,rita.dot.gov,Y
Federal Organization,Executive Office of the President,US Trade Representative,ustr.eop.gov,N
Federal Organization,Department of Agriculture,Office of Assistant Secretary for Civil Rights,ascr.usda.gov,Y
Federal Organization,Department of Justice,Civil Rights Division,crt.usdoj.gov,Y
Federal Organization,General Services Administration,Federal Acquisition Service,fas.gsa.gov,Y
Federal Organization,Department of Health and Human Services,,hhs.gov,Y
Federal Organization,National Capital Planning Commission,,ncpc.gov,N
